id,created_at,text
1494310413831450628,2022-02-17 13:59:00+00:00,b'\xf0\x9d\x99\x8f\xf0\x9d\x99\x96\xf0\x9d\x99\xa0\xf0\x9d\x99\x9e\xf0\x9d\x99\xa3\xf0\x9d\x99\x9c \xf0\x9d\x99\x9b\xf0\x9d\x99\xa1\xf0\x9d\x99\x9e\xf0\x9d\x99\x9c\xf0\x9d\x99\x9d\xf0\x9d\x99\xa9 \xf0\x9f\x9b\xab\n\n\xf0\x9f\x91\x8f @D_DeGea\n\n#MUFC | #MUNBHA https://t.co/6Mnrr8b4bD'
1494309001672204297,2022-02-17 13:53:23+00:00,b'RT @IamMSilvestre: More of this \xf0\x9f\x8f\x8b\xf0\x9f\x8f\xbd and less of this \xf0\x9f\x8d\xbbuntil then ! \xf0\x9f\x98\x85 See you soon @ManUtd \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd'
1494291080929497097,2022-02-17 12:42:10+00:00,b'Made for the occasion \xe2\x9a\xab\xef\xb8\x8f\n\n#MUFC | @RaphaelVarane'
1494267299695669253,2022-02-17 11:07:41+00:00,"b'\xf0\x9d\x90\x8b\xf0\x9d\x90\x84\xf0\x9d\x90\x86\xf0\x9d\x90\x84\xf0\x9d\x90\x8d\xf0\x9d\x90\x83\xf0\x9d\x90\x92 \xf0\x9d\x90\x8e\xf0\x9d\x90\x85 \xf0\x9d\x90\x93\xf0\x9d\x90\x87\xf0\x9d\x90\x84 \xf0\x9d\x90\x8d\xf0\x9d\x90\x8e\xf0\x9d\x90\x91\xf0\x9d\x90\x93\xf0\x9d\x90\x87 \xe2\x9a\x94\xef\xb8\x8f\n\n@BryanRobson will lead a United legends team against Liverpool in May, with all proceeds g\xe2\x80\xa6 https://t.co/3aGGKcy6AN'"
1494252491013296128,2022-02-17 10:08:50+00:00,"b""\xe2\x84\xb9\xef\xb8\x8f Assessing our options for Sunday's trip to Elland Road \xf0\x9f\x91\x87\n\n#MUFC | #LEEMUN"""
1494223591617048576,2022-02-17 08:14:00+00:00,b'Our #MUAcademy U18s are set for another #FAYouthCup date under the Old Trafford lights this month! \xf0\x9f\x8f\x9f\xef\xb8\x8f\n\nCome and show your support \xf0\x9f\x99\x8c\xf0\x9f\x94\xb4\n\n#MUFC'
1494189365878300673,2022-02-17 05:58:00+00:00,"b'Certified goal machine \xf0\x9f\x93\x9c\xe2\x9c\x85\n\n@VanCole9 levelled things up against Arsenal in our Treble-winning season, 2\xef\xb8\x8f\xe2\x83\xa33\xef\xb8\x8f\xe2\x83\xa3 years\xe2\x80\xa6 https://t.co/pNVCsrKyNB'"
1494129974906818560,2022-02-17 02:02:00+00:00,b'On repeat in \xf0\x9d\x92\x86\xf0\x9d\x92\x97\xf0\x9d\x92\x86\xf0\x9d\x92\x93\xf0\x9d\x92\x9a single angle \xf0\x9f\x94\x84\xf0\x9f\x8c\x9f\n\n\xf0\x9f\x94\xb4 @Cristiano\n\n#MUFC | #MUNBHA https://t.co/NSJF5sFuEw'
1494070583642005504,2022-02-16 22:06:00+00:00,b'A constant goal threat in the #PL since the beginning of 2020/21 \xf0\x9f\x92\xaa\n\n\xf0\x9f\x8c\x9f @B_Fernandes8\n\n#MUFC | #MUNBHA'
1494067312034521090,2022-02-16 21:53:00+00:00,"b'A lovely gesture, @PaulPogba \xf0\x9f\x99\x8f\n\n#MUFC | #MUNBHA https://t.co/f7bG6jFuJ3 https://t.co/roROS2yjyC'"
1494042397734432769,2022-02-16 20:14:00+00:00,b'Clean sheet = secured \xe2\x9b\x94\xef\xb8\x8f\xf0\x9f\x91\x8f\n\n#MUFC | #MUNBHA'
1494022768287006721,2022-02-16 18:56:00+00:00,"b""\xf0\x9f\x94\xba #MUNBHA reaction \xf0\x9f\x92\xac\n\xf0\x9f\x94\xba Little Devils \xf0\x9f\x98\x88\n\xf0\x9f\x94\xba @PaulPogba's gift to a fan \xf0\x9f\x8e\x81\n\n\xf0\x9f\x8e\xa5 Starring members of the Class of 92, today\xe2\x80\xa6 https://t.co/xyA84nc3I5"""
1494008927775772672,2022-02-16 18:01:00+00:00,b'\xf0\x9f\x8e\xa5 A very special edition of @TeamViewer Diaries...\n\nWatch in full during #ILOVEUNITED India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xe2\x9d\xa4\xef\xb8\x8f\n\n#MUFC'
1494001629120638979,2022-02-16 17:32:00+00:00,b'Marking a landmark career appearance by helping secure all three points \xf0\x9f\x91\x8f\n\n\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 @AT13Oficial\n\n#MUFC | #MUNBHA'
1493984264651620355,2022-02-16 16:23:00+00:00,b'A first-class stop from @D_DeGea \xf0\x9f\x91\x90\xe2\x9b\x94\xef\xb8\x8f\n\n#MUFC | #MUNBHA https://t.co/yjNVaIlTJy'
1493966145778421766,2022-02-16 15:11:00+00:00,b'The PP x Bruno link-up is on \xf0\x9f\x94\xa5\n\n@PaulPogba \xf0\x9f\xa4\x9d @B_Fernandes8\n\n#MUFC | #MUNBHA'
1493949284659646468,2022-02-16 14:04:00+00:00,"b'\xf0\x9f\x94\xb4 #MUAcademy appreciating \xf0\x9f\xa4\x9d\n\nNice to see you, @DannyWelbeck \xf0\x9f\x91\x8d\n\n#MUFC | #MUNBHA https://t.co/G8ifgs8jc6'"
1493937204560814081,2022-02-16 13:16:00+00:00,b'\xe2\x84\xb9\xef\xb8\x8f Ralf explained why @RaphaelVarane was replaced by @VLindelof ahead of kick-off on Tuesday... \n\n#MUFC | #MUNBHA'
1493920595070701570,2022-02-16 12:10:00+00:00,b'\xf0\x9f\x97\xa3 \xf0\x9d\x91\x83\xf0\x9d\x91\xa2\xf0\x9d\x91\x9f\xf0\x9d\x91\x92 \xf0\x9d\x91\x9d\xf0\x9d\x91\x8e\xf0\x9d\x91\xa0\xf0\x9d\x91\xa0\xf0\x9d\x91\x96\xf0\x9d\x91\x9c\xf0\x9d\x91\x9b\n\n#MUFC | @B_Fernandes8 https://t.co/1AOHUCRKJo'
1493918079146938368,2022-02-16 12:00:00+00:00,b'\xf0\x9f\xa7\xa0 Speed of thought\n\xe2\x9a\xa1 Quickness of feet \n\xf0\x9f\x8e\xaf Precision of finish \n\n@B_Fernandes8 x @PaulPogba\n\n#MUFC | @RemingtonUK https://t.co/hSVJP0jjWC'
1493908767251079170,2022-02-16 11:23:00+00:00,"b""\xf0\x9f\x93\xb2 A good night's work! \xf0\x9f\x99\x8c\n\n#MUFC | #MUNBHA"""
1493892661090164738,2022-02-16 10:19:00+00:00,"b'Love that, @PaulPogba \xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f\n\n#MUFC | #MUNBHA'"
1493880581557415936,2022-02-16 09:31:00+00:00,b'\xe2\x96\xaa\xef\xb8\x8f Last-minute call-up to the starting XI \n\xe2\x96\xaa\xef\xb8\x8f Clean sheet and win \n\n@VLindelof stepped \xf0\x9f\x86\x99\n\n#MUFC | #MUNBHA'
1493864475157569536,2022-02-16 08:27:00+00:00,b'Another one ticked off the list for @Cristiano: \xe2\x9c\x85\n\n#MUFC | #MUNBHA'
1493840567696084994,2022-02-16 06:52:00+00:00,"b""There's no place quite like it \xe2\x9d\xa4\xef\xb8\x8f\n\n#MUFC | #PhotoOfTheDay https://t.co/EUy93lvyt4"""
1493812633870417924,2022-02-16 05:01:00+00:00,b'Clean sheet + three points = a happy @D_DeGea \xf0\x9f\x98\x84\xf0\x9f\x99\x8c\n\n#MUFC | #MUNBHA'
1493788222794592257,2022-02-16 03:24:00+00:00,b'How good is it seeing @PaulPogba back out there? \xf0\x9f\x98\x8d\xf0\x9f\x87\xab\xf0\x9f\x87\xb7\n\n#MUFC | #MUNBHA'
1493754249146089477,2022-02-16 01:09:00+00:00,"b'Goodnight, Reds \xe2\x9d\xa4\xef\xb8\x8f\n\n#MUFC | #MUNBHA https://t.co/ll1jx3Brq4'"
1493748799646224384,2022-02-16 00:47:21+00:00,"b""The interim boss believes our second-half risks paid off in Tuesday's win over Brighton! \xf0\x9f\x94\x8a\n\n#MUFC | #MUNBHA"""
1493741666116812800,2022-02-16 00:19:00+00:00,b'Drive. Energy. Composure. \xe2\x9a\xa1\xef\xb8\x8f\n\n\xf0\x9f\x94\x8b @B_Fernandes8\n\n#MUFC | #MUNBHA'
1493740578328047621,2022-02-16 00:14:40+00:00,b'Check our header to see the winner! \xf0\x9f\x98\x89\xf0\x9f\x93\xb8 https://t.co/UtENcKuIPP'
1493737484731092999,2022-02-16 00:02:23+00:00,b'Just @Cristiano things \xf0\x9f\x91\x8f\n\n#MUFC | #MUNBHA https://t.co/l7hSwqnF12'
1493733989231697923,2022-02-15 23:48:29+00:00,b'Coming up clutch in the big moments! \xf0\x9f\xa4\xa9\n\n\xf0\x9f\x91\x8f @D_DeGea \n\n@TeamViewer \xe2\x86\x94\xef\xb8\x8f #BringingYouCloser https://t.co/42uRyLyyD1'
1493729586680528896,2022-02-15 23:31:00+00:00,b'Goal: \xe2\x9c\x85\nMan of the Match: \xe2\x9c\x85\n\nA good night for @Cristiano! \xf0\x9f\x8c\x9f\n\n#MUFC | #MUNBHA'
1493727605354287105,2022-02-15 23:23:07+00:00,b'Making things happen \xf0\x9f\x92\xab \n\n\xf0\x9f\x91\x8f @Sanchooo10 \n\n#MUFC | #MUNBHA https://t.co/YZsCtnl1RM'
1493726314863288326,2022-02-15 23:18:00+00:00,"b'Old Trafford was rocking tonight, Reds! \xf0\x9f\x8e\xb8\n\nThank you for your continued support \xf0\x9f\x91\x8f\xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\xe2\x9a\xab\xef\xb8\x8f\n\n#MUFC | #MUNBHA https://t.co/HMkKFv5ZLU'"
1493724220479713282,2022-02-15 23:09:40+00:00,b'\xf0\x9f\x97\xb3\xf0\x9f\x91\x87'
1493724216239087617,2022-02-15 23:09:39+00:00,"b'\xf0\x9f\x93\xb8 It\xe2\x80\x99s time for a new cover photo, Reds\xe2\x80\xa6 \n\nGet voting \xf0\x9f\x91\x87\n\n#MUFC | #MUNBHA https://t.co/WabUARL5Wo'"
1493721281937637376,2022-02-15 22:58:00+00:00,b'\xf0\x9d\x91\xb4\xf0\x9d\x92\x82\xf0\x9d\x92\x88\xf0\x9d\x92\x8f\xf0\x9d\x92\x8a\xf0\x9d\x92\x87\xf0\x9d\x92\x8a\xf0\x9d\x92\x84\xf0\x9d\x92\x90 \xf0\x9f\x8c\x9f\n\n@B_Fernandes8 \xf0\x9f\xa4\x9d @Cristiano  \n\n#MUFC | #MUNBHA https://t.co/yxCBYTfcNA'
1493718261837402112,2022-02-15 22:46:00+00:00,b'\xf0\x9d\x91\xb0\xf0\x9d\x92\x8e\xf0\x9d\x92\x91\xf0\x9d\x92\x82\xf0\x9d\x92\x84\xf0\x9d\x92\x95.\n\n\xf0\x9f\x94\xa5 @PaulPogba \n\n#MUFC | #MUNBHA https://t.co/79Y9IqexgC'
1493715493743734788,2022-02-15 22:35:00+00:00,b'On his stage at the Theatre of Dreams! \xf0\x9f\x99\x8c\n\n\xe2\x9c\xa8 @Cristiano\n\n#MUFC | #MUNBHA'
1493714908638232576,2022-02-15 22:32:40+00:00,"b'RT @Cristiano: Back on track! Nobody gives up and there\xe2\x80\x99s only one way to get back on track: hard work, team work, serious work. Everything\xe2\x80\xa6'"
1493713480486113282,2022-02-15 22:27:00+00:00,b'Who was your star performer for the Reds tonight? \xf0\x9f\x8c\x9f\n\n#MUFC | #MUNBHA'
1493711795445547009,2022-02-15 22:20:18+00:00,b'\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9 @Cristiano x @B_Fernandes8 \xf0\x9f\x87\xb5\xf0\x9f\x87\xb9 \n\n#MUFC | #MUNBHA https://t.co/u3VdDZBibN'
1493710553998630916,2022-02-15 22:15:22+00:00,b'Look what it means to Bruno! \xf0\x9f\x98\x8d\n\n#MUFC | #MUNBHA https://t.co/RQsjQ5TdNY'
1493709602680152068,2022-02-15 22:11:35+00:00,b'Class is permanent. \n\n\xf0\x9f\x91\x8f @Cristiano \n\n#MUFC | #MUNBHA https://t.co/cFqJhO1OZ3'
1493709003477729281,2022-02-15 22:09:12+00:00,b'Goals from @Cristiano and @B_Fernandes8 gives us all three points! \xf0\x9f\x91\x8f\n\n#MUFC | #MUNBHA'
1493708424349110280,2022-02-15 22:06:54+00:00,b'BRUNO SEALS IT!\n\n#MUFC | #MUNBHA'
1493705900896436224,2022-02-15 21:56:53+00:00,"b'RT @ManUtdMatchday: \xf0\x9f\x9a\xa8 Important Metrolink Update:\n\n\xe2\x9d\x8c Due to a major power loss, no Metrolink services will be running after the match other\xe2\x80\xa6'"
1493705470414053384,2022-02-15 21:55:10+00:00,b'Into the closing stages \xe2\x8c\x9b\xef\xb8\x8f\n\n#MUFC | #MUNBHA https://t.co/t57FRgt4Kn'
1493704456952811520,2022-02-15 21:51:08+00:00,"b""\xf0\x9f\x94\x84 Let's go, Reds! \xf0\x9f\x92\xaa\n\n#MUFC | #MUNBHA https://t.co/qOd3i1EzmY"""
1493702752702287874,2022-02-15 21:44:22+00:00,b'\xf0\x9f\x94\x84 Ralf brings @PaulPogba into play... \n\n#MUFC | #MUNBHA https://t.co/3coXPbMqEr'
1493702107085615109,2022-02-15 21:41:48+00:00,"b'Let\xe2\x80\x99s have a big last 2\xef\xb8\x8f\xe2\x83\xa30\xef\xb8\x8f\xe2\x83\xa3, Reds! \xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\xe2\x9a\xab\xef\xb8\x8f\n\n#MUFC | #MUNBHA https://t.co/JVJCqgcgcE'"
1493698795229618194,2022-02-15 21:28:39+00:00,b'He LOVES goals! \xf0\x9f\x98\x8d\xf0\x9f\x91\x8f\n\n#MUFC #MUNBHA https://t.co/7TszOBpACC'
1493697869009797121,2022-02-15 21:24:58+00:00,"b'Red card for Brighton. After a consultation with VAR, Lewis Dunk is dismissed.\n\n#MUFC | #MUNBHA'"
1493697255630643203,2022-02-15 21:22:31+00:00,"b'Take a bow, @Cristiano \xf0\x9f\x99\x8f\n\n#MUFC | #MUNBHA'"
1493696930798612481,2022-02-15 21:21:14+00:00,b'CRISTIANOOOOO! \xf0\x9f\x91\x8f\n\n#MUFC | #MUNBHA'
1493695791143260164,2022-02-15 21:16:42+00:00,"b""Let's kick on, Reds! \xf0\x9f\x99\x8c\n\n#MUFC | #MUNBHA"""
1493692220960129038,2022-02-15 21:02:31+00:00,"b'Stunning stop, @D_DeGea \xf0\x9f\x91\x90\n\n#MUFC | #MUNBHA https://t.co/8fXIFoDNn3 https://t.co/33EV5ckkOf'"
1493691704259616769,2022-02-15 21:00:28+00:00,b'A goalless first half at Old Trafford.\n\n#MUFC | #MUNBHA'
1493690129415872516,2022-02-15 20:54:12+00:00,"b'What a save that is, @D_DeGea \xf0\x9f\x91\x8f\n\n#MUFC | #MUNBHA'"
1493688274061250566,2022-02-15 20:46:50+00:00,b'Into the final 1\xef\xb8\x8f\xe2\x83\xa35\xef\xb8\x8f\xe2\x83\xa3 minutes of the first half with the game goalless. \n\n#MUFC | #MUNBHA https://t.co/d35w45XwrL'
1493685332541386755,2022-02-15 20:35:09+00:00,b'On the search for the first goal \xf0\x9f\x94\x8e\n\n#MUFC | #MUNBHA https://t.co/mNB0Mle20g'
1493682706164727811,2022-02-15 20:24:43+00:00,b'Going close to opening the scoring again \xe2\x9a\xa1\xef\xb8\x8f \n\n\xf0\x9f\x94\xb4 @Sanchooo10 \n\n#MUFC | #MUNBHA https://t.co/VcL1Mt1m8A'
1493681484670152707,2022-02-15 20:19:51+00:00,b'Bring on United! \xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\xe2\x9a\xab\xef\xb8\x8f\n\n#MUFC | #MUNBHA https://t.co/4lJRxGzNzQ'
1493680292753817600,2022-02-15 20:15:07+00:00,"b'Come on, United! \xf0\x9f\x92\xaa\xf0\x9f\x94\xb4\n\n#MUFC | #MUNBHA'"
1493679371474948098,2022-02-15 20:11:28+00:00,b'Next up: #MUNBHA \xf0\x9f\x94\x9c\n\n#MUFC | #PL https://t.co/vu7A3wWTlG'
1493678314292191236,2022-02-15 20:07:15+00:00,b'Matchday mode = \xf0\x9f\x94\x9b\xf0\x9f\x98\xa4\n\n#MUFC | #MUNBHA https://t.co/CjBrDTQCfh'
1493676986627239939,2022-02-15 20:01:59+00:00,b'Our no.1 \xf0\x9f\xa7\xa4 \n\n\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8 @D_DeGea \n\n#MUFC | #MUNBHA https://t.co/JwaABagOZw'
1493676234873741314,2022-02-15 19:59:00+00:00,"b""\xf0\x9f\x92\xac Ralf's pre-match thoughts ahead of #MUNBHA...\n\n#MUFC | #PL"""
1493674403460272129,2022-02-15 19:51:43+00:00,"b'Straight to work, Reds! \xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\n#MUFC | #MUNBHA'"
1493672712413188097,2022-02-15 19:45:00+00:00,b'Discrimination of any kind will \xf0\x9d\x92\x8f\xf0\x9d\x92\x90\xf0\x9d\x92\x95 be tolerated.\n\nSee it. Report it. Stop it. \n\n#SeeRed | #allredallequal'
1493671136160321539,2022-02-15 19:38:44+00:00,b'Raphael Varane has pulled out of tonight\xe2\x80\x99s starting line-up due to illness. \n\nVictor Lindelof will replace him in t\xe2\x80\xa6 https://t.co/n2U017hRNt'
1493666420529541124,2022-02-15 19:20:00+00:00,"b'Welcome back to the starting line-up, lads! \xf0\x9f\x91\x8b\n\n#MUFC | #MUNBHA'"
1493665162011680770,2022-02-15 19:15:00+00:00,b'Introducing your United line-up to take on Brighton! \xe2\x9c\x8a\xf0\x9f\x94\xb4\n\n#MUFC | #MUNBHA'
